Sample_Name,M3-Fe_(mg/kg),M3-Al_(mg/kg),M3-P_(mg/kg),M3-K_(mg/kg),M3-Ca_(mg/kg),M3-Mg_(mg/kg),M3-Mn_(mg/kg),M3-Zn_(mg/kg),M3-Cu_(mg/kg),M3-B_(mg/kg),M3-S_(mg/kg),M3-Si_(mg/kg),NH4-N_(mg/kg),NO3-N_(mg/kg),As_(mg/kg),Cd_(mg/kg),Co_(mg/kg),Cr_(mg/kg),Cu_(mg/kg),Ni_(mg/kg),P_(mg/kg),Pb_(mg/kg),Si_(mg/kg),Zn_(mg/kg),d13C,%C,d15N,%N,Bank_Depth_(in),Total_Depth_(in),%_Depth,Classification,%Sand,%Silt,%Clay,%Coarse,%_Fine,Nitrifier_Copy#_Total_(copy#/g_soil),Dentrifier_Copy#_Total_(NosZ)_(copy#_/g_soil)
RH_15,216.4694547,884.8214553,2.932595212,20.2354996,66.11168524,31.75658021,61.04107506,2.567975384,5.048396128,0.09,25.2943575,283.8014485,0.065,2.762364,2.635316668,0.1,9.803818934,32.74294419,31.96448518,18.39072777,251.2437949,8.879198625,1958.319365,42.68174368,-25.515236,0.5675888,7.645264,0.0356708,15,60,25,Top_Layer,46.76,45.702,7.538,0.47,0.5324,46183,3533034
RH_30,323.9754105,1093.985619,2.264977376,26.19466441,76.05665382,39.7287043,13.33784545,2.122662816,4.771399648,0.161608928,35.44862773,284.4061006,0.065,3.08096,2.327114425,0.1,11.88207607,39.8152292,44.52241979,24.28410951,288.943829,13.7790722,1827.913715,63.72871957,-26.350108,0.6320688,9.6583,0.0379784,30,60,50,Upper_Middle_Layer,34.52,55.39,10.09,0.35,0.6548,21257,402657
RH_45,219.3728462,843.9922624,4.768564286,52.74328128,55.91987498,26.45790763,3.634975469,0.956825828,2.135947312,0.09,17.27184712,360.844078,0.2370035,3.746326,1.919842122,0.1,4.231658194,27.82966972,9.947648969,11.08663446,87.02321748,6.128636662,1526.984593,26.95956036,-26.503856,0.314633,0,0,45,60,75,Lower_Middle_Layer,57.53,36.95,5.52,0.58,0.4247,111649,31320
RH_55,244.2348992,746.6965032,1.4692209,22.64532465,57.7307667,30.1030307,2.23437615,0.9404274,2.1934673,0.09,19.3896112,337.0341401,0.065,3.47605,2.394520226,0.1,3.930986991,28.8083281,14.75251455,10.20277828,63.61058151,5.730704825,1826.855917,26.0473389,-25.8728,0.19293,0,0,55,60,92,Bottom_Layer,53.5,40.834,5.666,0.54,0.465,25679,28664
SM2_24,138.2394579,639.2904514,5.150769624,11.4181717,95.54481543,158.7461565,65.37483715,30.41320958,1.5840487,1.003200848,1.761130248,80.56477224,175.1887023,0.734138,2.92184598,1.190805072,4.693059445,17.01624072,27.29753381,20.40899542,150.4667967,142.8454736,510.5770091,1060.509171,-24.929316,0.3422312,3.97086,0.0156636,24,108,22,Top_Layer,72.52,23.809,3.671,0.73,0.2748,173705,876260
SM2_48,160.0295262,940.5909964,2.996878488,33.85743233,216.6920683,75.98339115,34.03171267,0.513236834,0.799579204,0.09,16.07779233,277.6102336,1.352204,0.73749,2.977134408,0.1,10.03392814,31.18505034,13.154091,18.25810957,269.7672937,7.872637355,1763.017524,55.70718821,-26.384794,0.8272614,8.492904,0.0294462,48,108,44,Upper_Middle_Layer,48.34,44.817,6.843,0.48,0.5166,49612,656188
SM2_72,99.31500023,569.7888886,0.91527155,21.44496171,178.9519301,72.55626219,19.42964482,0.719943517,0.688936095,0.09,35.73989234,371.9687144,1.050249,0.803039,1.380794834,0.1,10.80029185,27.62366371,11.08978121,16.71365768,128.8384738,6.794911122,1727.74614,55.66759032,-25.06031,0.112535,0,0,72,108,67,Lower_Middle_Layer,60.31,35.251,4.439,0.6,0.3969,0,0
SM2_88,119.5155574,754.0293426,0.401483272,41.53011842,373.8312945,131.4285311,127.1388272,0.650407728,0.792054432,0.09,25.84572567,400.3791661,2.86178,1.0069,2.273778178,0.1,8.450951506,34.32250516,13.08352957,17.51764366,53.24788489,8.670506148,1882.398669,55.55974655,-26.266792,0.1002184,0,0,88,108,81,Bottom_Layer,58.76,36.686,4.554,0.59,0.4124,0,0
SM3_72,221.627004,1114.769623,7.789294151,107.874062,423.1016407,108.552019,82.79884196,0.887361862,2.370009035,0.216028187,10.40081928,322.2985623,1.350545,8.250074,5.115615583,0.106468273,15.07633499,40.03238227,25.23902,28.46937869,476.3935965,14.86870835,1502.163283,75.11176686,-26.614418,1.2502752,10.822682,0.1027754,72,156,46,Upper_Middle_Layer,4.71,81.85,13.44,0.05,0.9529,36102,2324643
SM3_108,297.5209164,1177.57476,12.54984523,37.22268138,211.3188986,59.73533996,108.1476819,0.883222828,2.117070768,0.09,28.76095137,279.7661069,1.064692,4.056173,4.47652736,0.1,15.17216021,44.88051043,24.50023473,30.25166058,561.4465426,11.29930967,1689.649707,77.43667151,-26.471201,1.1859571,9.800903,0.0769384,108,156,69,Lower_Middle_Layer,12.57,76.4,11.03,0.13,0.8743,31774,2700464
